t: 428650464 ESC: 6 Hall Sensors: 0 769 		 Accel: 0.00 0.00
t: 428727724 ESC: 6 Hall Sensors: 769 0 		 Accel: 7.48 0.00
t: 428805048 ESC: 6 Hall Sensors: 769 0 		 Accel: 7.52 0.00
t: 428882340 ESC: 6 Hall Sensors: 769 0 		 Accel: 7.55 0.00
t: 428907752 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.01 7.61
t: 428965424 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.04 7.62
t: 429030944 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.06 7.65
t: 429096464 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.11 7.69
t: 429161984 ESC: 6 Hall Sensors: 769 768 		 Accel: 0.14 7.68
t: 429227504 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.14 7.69
t: 429293028 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.12 7.68
t: 429358544 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.08 7.66
t: 429424064 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.04 7.64
t: 429489584 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.00 7.60
t: 429555104 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.05 7.58
t: 429621664 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.12 7.53
t: 429688224 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.15 7.49
t: 429754784 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.17 7.47
t: 429821344 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.16 7.47
t: 429887908 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.15 7.51
t: 430006376 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.09 0.00
t: 430031880 ESC: 6 Hall Sensors: 0 13107 		 Accel: 0.00 0.00
t: 430094660 ESC: 6 Hall Sensors: -10486 -10486 		 Accel: 0.00 0.00
t: 430166416 ESC: 6 Hall Sensors: 23593 31457 		 Accel: 0.00 0.11
t: 430236096 ESC: 6 Hall Sensors: -15729 769 		 Accel: 0.00 0.12
t: 430304736 ESC: 6 Hall Sensors: -18350 769 		 Accel: 0.00 0.12
t: 430373376 ESC: 6 Hall Sensors: 5243 769 		 Accel: 0.00 0.13
t: 430439936 ESC: 6 Hall Sensors: -15729 769 		 Accel: 0.00 0.10
t: 430508576 ESC: 6 Hall Sensors: -15729 769 		 Accel: 0.00 0.07
t: 430577216 ESC: 6 Hall Sensors: 10486 769 		 Accel: 0.00 0.00
t: 430696724 ESC: 6 Hall Sensors: 13107 769 		 Accel: 0.00 0.00
t: 430722300 ESC: 6 Hall Sensors: 769 0 		 Accel: -0.11 7.52
t: 430785008 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.15 7.50
t: 430851568 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.14 7.51
t: 430918128 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.15 7.47
t: 430984688 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.12 7.52
t: 431051248 ESC: 6 Hall Sensors: 769 770 		 Accel: -0.08 7.55
t: 431117808 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.05 7.56
t: 431184368 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.01 7.62
t: 431301808 ESC: 7 Hall Sensors: 769 769 		 Accel: 0.05 0.00
t: 431327308 ESC: 7 Hall Sensors: 18350 -15729 		 Accel: 0.00 0.00
t: 431446168 ESC: 6 Hall Sensors: 18350 2621 		 Accel: 0.00 7.73
t: 431471808 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.11 7.69
t: 431536540 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.10 7.70
t: 431653984 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.09 0.00
t: 431679484 ESC: 6 Hall Sensors: -10486 -10486 		 Accel: 0.00 0.00
t: 431747480 ESC: 6 Hall Sensors: -10486 -28836 		 Accel: 0.00 -0.06
t: 431820276 ESC: 6 Hall Sensors: -5243 769 		 Accel: 0.00 7.55
t: 431939792 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.13 0.00
t: 432017180 ESC: 6 Hall Sensors: 23593 20972 		 Accel: 0.00 0.00
t: 432094992 ESC: 6 Hall Sensors: -26214 0 		 Accel: 0.00 0.00
t: 432120484 ESC: 6 Hall Sensors: 18350 -2621 		 Accel: 0.00 0.00
t: 432187448 ESC: 6 Hall Sensors: -10486 -26214 		 Accel: 0.00 -0.05
