t: 1503186744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1503254344 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1503321944 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1503389544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.12
t: 1503457144 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.13
t: 1503524744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.11
t: 1503592344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1503659944 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.23 8.13
t: 1503727544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1503795144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1503862744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1503930344 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.20 8.15
t: 1503997944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1504065552 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.22 8.16
t: 1504133152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1504200752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1504268352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1504335952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.15
t: 1504403552 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1504471148 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.13
t: 1504538752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1504606352 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1504673952 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.14
t: 1504741552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1504809152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1504876752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1504944348 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.23 8.14
t: 1505011948 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1505079548 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1505147156 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1505214744 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.21 8.13
t: 1505282340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1505349940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1505417548 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1505485140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.12
t: 1505552740 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.14
t: 1505620340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.26 8.14
t: 1505687940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.12
t: 1505755544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.11
t: 1505823140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1505890740 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.14
t: 1505958340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1506025940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1506093540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1506161140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1506228744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1506296340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.17
t: 1506363940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1506431540 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1506499140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
