min:s.ms g
6:34.830 715.52
6:34.913 717.45
6:34.997 715.51
6:35.079 714.09
6:35.180 717.15
6:35.262 716.74
6:35.330 713.83
6:35.429 715.80
6:35.512 717.35
6:35.595 714.94
6:35.679 714.26
6:35.779 717.23
6:35.846 716.42
6:35.962 713.78
6:36.029 716.21
6:36.130 717.22
6:36.201 714.54
6:36.312 714.69
6:36.379 717.40
6:36.462 716.09
6:36.544 713.88
6:36.643 716.75
6:36.711 717.24
6:36.808 714.38
6:36.911 715.30
6:36.994 717.63
6:37.077 715.87
6:37.177 714.09
6:37.260 717.17
6:37.342 717.09
6:37.427 714.16
6:37.543 715.79
6:37.591 717.57
6:37.693 715.35
6:37.776 714.29
6:37.872 717.30
6:37.966 716.69
6:38.043 713.82
6:38.126 716.15
6:38.200 717.47
6:38.310 714.60
6:38.376 714.76
6:38.488 717.88
6:38.559 714.73
6:38.660 713.41
6:38.726 717.88
6:38.825 715.30
6:38.908 712.86
6:38.992 717.01
6:39.075 715.99
6:39.159 713.39
6:39.275 715.96
6:39.342 716.25
6:39.425 714.40
6:39.508 715.39
6:39.609 715.39
6:39.708 715.26
6:39.776 715.30
6:39.858 714.46
6:39.940 715.37
6:40.041 715.37
6:40.124 714.93
6:40.200 715.13
6:40.307 715.14
6:40.375 715.48
6:40.474 714.90
6:40.557 714.91
6:40.673 715.97
6:40.756 714.66
6:40.825 714.59
6:40.907 716.39
6:41.006 714.72
6:41.073 714.54
6:41.190 717.10
6:41.272 714.93
6:41.356 714.55
6:41.439 717.47
6:41.522 715.36
6:41.590 714.31
6:41.705 717.38
6:41.773 715.74
6:41.873 714.13
6:41.957 717.06
6:42.039 716.18
6:42.139 714.16
6:42.235 716.88
6:42.321 716.78
6:42.389 714.19
6:42.489 716.36
6:42.555 716.99
6:42.672 714.09
6:42.754 715.88
6:42.821 717.27
6:42.921 714.16
6:43.004 715.49
6:43.071 717.43
6:43.186 714.28
6:43.270 715.05
6:43.353 717.37
6:43.437 714.42
6:43.537 714.67
6:43.630 717.38
6:43.712 714.98
6:43.794 714.53
6:43.886 717.51
6:43.953 715.44
6:44.036 714.38
6:44.120 717.44
6:44.235 715.74
6:44.303 714.25
6:44.403 717.11
6:44.486 716.13
6:44.569 714.37
6:44.685 716.94
6:44.769 716.63
6:44.836 714.49
6:44.918 716.57
6:45.020 716.95
6:45.085 714.30
6:45.169 715.98
6:45.268 716.94
6:45.335 714.21
6:45.419 715.54
6:45.534 717.03
6:45.618 714.27
6:45.691 715.21
6:45.784 717.03
6:45.867 714.28
6:45.968 714.82
6:46.035 716.88
6:46.151 714.23
6:46.218 714.31
6:46.300 716.85
6:46.383 714.74
6:46.484 714.39
6:46.567 717.08
6:46.650 715.23
6:46.732 714.48
6:46.833 717.16
6:46.916 715.61
6:47.017 714.35
6:47.117 716.97
6:47.200 716.18
6:47.249 713.68
6:47.351 715.20
6:47.466 717.30
6:47.549 715.16
6:47.616 715.28
6:47.715 717.44
6:47.782 715.63
6:47.865 715.28
6:47.982 717.73
6:48.065 716.22
6:48.148 715.37
6:48.231 717.83
6:48.332 716.25
6:48.381 715.10
6:48.499 717.39
6:48.566 716.31
6:48.682 715.43
6:48.764 715.63
6:48.832 715.69
6:48.915 715.50
6:49.015 715.50
6:49.097 715.57
6:49.182 715.62
6:49.264 715.63
6:49.347 715.56
6:49.463 715.50
6:49.514 715.47
6:49.630 715.45
6:49.712 715.50
6:49.797 715.57
6:49.913 715.61
6:49.947 715.58
6:50.063 715.58
6:50.147 715.59
6:50.213 715.57
6:50.346 715.55
6:50.429 715.57
6:50.496 715.53
6:50.592 715.46
6:50.688 715.44
6:50.762 715.46
6:50.860 715.49
6:50.955 715.54
6:51.011 715.58
6:51.095 715.59
6:51.211 715.58
6:51.278 715.58
6:51.380 715.55
6:51.428 715.50
6:51.545 715.50
6:51.611 715.50
6:51.694 715.47
6:51.797 715.48
6:51.878 715.55
6:51.960 715.58
6:52.043 715.58
6:52.137 715.62
6:52.258 715.63
6:52.306 715.61
6:52.400 715.59
6:52.488 715.58
6:52.571 715.59
6:52.661 715.58
6:52.743 715.61
6:52.827 715.62
6:52.926 715.65
6:53.043 715.67
6:53.091 715.67
6:53.226 715.71
6:53.260 715.71
6:53.392 715.73
6:53.441 715.73
6:53.526 715.70
6:53.620 715.65
6:53.702 715.65
6:53.796 715.65
6:53.876 715.67
6:53.959 715.69
6:54.043 715.69
6:54.141 715.65
6:54.225 715.63
6:54.319 715.62
6:54.415 715.58
6:54.508 715.57
6:54.608 715.58
6:54.692 715.59
6:54.774 715.51
6:54.857 715.48
6:54.940 715.48
6:55.008 715.49
6:55.090 715.55
6:55.207 715.61
6:55.289 715.61
6:55.374 715.58
6:55.469 715.57
6:55.556 715.55
6:55.639 715.55
6:55.723 715.58
6:55.806 715.59
6:55.890 715.57
6:55.973 715.58
6:56.056 715.61
6:56.156 715.64
6:56.239 715.65
6:56.322 715.67
6:56.427 715.69
6:56.521 715.65
6:56.606 715.62
6:56.689 715.63
6:56.772 715.61
6:56.855 715.60
6:56.939 715.59
6:57.005 715.58
6:57.088 715.57
6:57.205 715.57
6:57.288 715.56
6:57.371 715.56
6:57.468 715.57
6:57.555 715.58
6:57.638 715.56
6:57.721 715.55
6:57.804 715.53
6:57.888 715.50
6:57.970 715.48
6:58.054 715.46
6:58.171 715.45
6:58.254 715.42
6:58.337 715.39
6:58.421 715.39
6:58.520 715.43
6:58.603 715.44
6:58.687 715.45
6:58.770 715.48
6:58.871 715.47
6:58.920 715.48
6:59.036 715.48
6:59.119 715.44
6:59.204 715.42
6:59.287 715.42
6:59.369 715.44
6:59.469 715.44
6:59.568 715.44
6:59.637 715.48
6:59.722 715.50
6:59.805 715.53
6:59.909 715.55
6:59.985 715.55
7:00.102 715.51
7:00.169 715.49
7:00.255 715.50
7:00.335 715.50
7:00.419 715.52
7:00.502 715.54
